37
idx	RT	PRT	ST	amb_id
36	1626.17	1626.17	600.00	9
35	590.53	590.53	600.00	9
34	606.29	606.29	600.00	15
18	3651.29	3651.29	600.00	5
33	582.37	582.37	600.00	3
32	407.27	407.27	600.00	9
31	517.37	2069.47	1443.35	0
30	432.15	432.15	600.00	17
12	1077.33	1077.33	600.00	9
11	384.10	1536.40	600.00	3
10	994.11	3976.45	600.00	11
9	319.78	319.78	2041.98	2
8	473.09	1892.36	2890.01	4
7	652.98	652.98	1995.91	20
6	1236.73	4946.93	600.00	7
5	1400.60	1400.60	600.00	15
4	579.85	3819.42	600.00	8
3	560.14	2240.57	1615.46	10
2	1173.74	4694.98	3342.46	0
1	1588.45	1588.45	600.00	5
0	1008.76	4035.04	600.00	1
29	719.51	2878.05	600.00	15
13	550.31	550.31	600.00	19
14	272.03	1088.13	600.00	13
15	470.47	1881.90	600.00	5
16	258.34	1033.37	600.00	7
17	209.61	209.61	600.00	15
19	472.97	1891.89	600.00	21
20	443.28	443.28	600.00	14
21	453.10	1812.39	600.00	7
22	82.72	82.72	600.00	13
23	433.95	1735.81	1451.48	12
26	306.97	306.97	600.00	3
27	300.87	1203.46	600.00	11
25	334.30	334.30	600.00	0
28	668.73	668.73	600.00	5
24	805.32	805.32	1340.72	14
