69
idx	RT	PRT	ST	amb_id
68	75.00	1800.00	600.00	10
67	340.80	340.80	600.00	3
66	1649.58	8098.30	600.00	18
65	267.10	267.10	600.00	17
64	354.53	354.53	600.00	0
63	104.48	1604.48	600.00	12
62	392.95	1571.79	1295.39	2
61	267.61	1070.46	600.00	21
60	176.34	705.36	600.00	7
59	240.57	2462.30	600.00	8
28	318.02	1272.06	1577.04	12
27	1581.73	3081.73	600.00	24
26	1192.87	2692.87	600.00	14
25	750.17	750.17	600.00	23
24	221.35	221.35	600.00	13
23	139.75	559.00	600.00	21
22	241.21	964.84	600.00	3
21	167.59	670.36	1591.84	2
20	300.42	300.42	2449.96	6
19	464.39	3357.55	600.00	18
18	457.69	1830.77	600.00	11
17	130.40	6521.59	1614.47	1
16	618.46	2118.46	600.00	22
15	456.60	3326.38	600.00	12
14	1142.64	4570.56	1206.81	20
13	233.53	233.53	600.00	21
0	1347.92	1347.92	600.00	1
1	727.05	2227.05	600.00	8
2	1199.50	1199.50	600.00	11
3	367.17	1468.68	600.00	21
4	1525.61	1525.61	1540.69	4
5	519.14	2019.14	600.00	18
6	91.72	1591.72	600.00	12
7	1611.97	7947.89	600.00	0
8	179.33	1679.33	600.00	22
9	1513.29	6053.17	600.00	7
10	209.12	1709.12	600.00	2
11	1634.52	1634.52	600.00	10
12	349.23	1396.93	2819.93	8
29	29.31	29.31	600.00	19
30	600.85	2403.41	600.00	11
31	626.47	2505.86	600.00	5
32	170.96	1670.96	600.00	0
33	43.51	43.51	600.00	7
34	604.51	3918.03	600.00	10
35	199.55	199.55	600.00	1
36	593.52	2374.07	600.00	17
37	872.91	4991.63	600.00	18
38	825.43	2325.43	600.00	16
39	98.49	6098.49	1387.33	19
40	102.35	1602.35	600.00	2
41	348.94	1848.94	600.00	4
42	574.71	2074.71	600.00	0
43	466.22	1864.88	600.00	7
44	149.03	6149.03	600.00	3
45	230.47	2421.89	600.00	8
46	34.27	6034.27	600.00	1
47	627.63	2127.63	600.00	10
48	259.61	1038.44	600.00	21
49	584.78	2084.78	600.00	12
50	895.94	2395.94	600.00	6
51	230.43	6230.43	600.00	17
52	440.43	1940.43	600.00	24
53	3985.16	17440.66	600.00	4
54	185.81	2243.25	600.00	18
55	122.36	1989.43	600.00	22
56	226.19	904.75	1513.94	14
57	1273.77	6595.07	600.00	16
58	3869.01	3869.01	600.00	1
